#  The Gapminder data for 2008 only with fewer vatriables,,,,,,,,,,,,,,,,,,,,,,,,,,
Country,Region,Year,AgriculturalLand,BodyMassIndex_M,BodyMassIndex_F,Cellphones,ChildrenPerWoman,CO2Emissions,EnergyUsePerPerson,Exports,GDPpercapita,Governmenthealthspendingperpersontotal,Imports,IncomePerPerson,Infantmortality,Inflation,Internetusers,LifeExpectancy,Populationtotal,Populationgrowth,Populationdensity,Residentialelectricityuseperperson,Teenfertilityrate,TotalhealthspendingperpersonUS,UrbanpopulationTotal,Urbanpopulationgrowth
Guam,East Asia & Pacific,2008,35.18518519,,,,2.529,,,,,,,,,,48.41870215,77.505,175538,1.263517463,319.741,,51,,93.1456,1.278763575
Guatemala,America,2008,39.36170213,25.29947,26.84324,109.1871167,4.119,0.911923193,0.595795468,24.71826452,1892.332607,68.5392064,39.40697228,10523.42124,30.1,9.440697064,8.3,70.488,13690846,2.454894662,125.732,187.3248822,106,198.5067007,48.4656,3.348579366
Guernsey,Europe & Central Asia,2008,,,,,,,,,,,,,,,,,65726,,,,,,,
Guinea,Sub-Saharan Africa,2008,57.95214065,22.52449,22.45206,28.7683686,5.343,0.1269644,,34.93271676,398.9990312,3.60337113,38.63635161,1941.803749,75,14.10684796,0.92,54.495,9559110,1.959537216,38.881,,153,25.97621308,34.1188,3.211820845
Guinea-Bissau,Sub-Saharan Africa,2008,57.9658606,21.64338,22.92809,34.40437432,5.247,0.19420944,,,157.7455097,5.07197533,,1164.875067,89.6,10.46117117,2.354888711,53.1,1453757,2.054730676,40.242,,108,33.13959396,41.75,3.830890461
Guyana,America,2008,8.509017018,23.68465,26.47019,59.57718294,2.743,2.073415312,,,1126.971645,139.3928285,,7339.569213,31.9,9.020371708,18.2,65.317,751578,0.201112714,3.496,,65,153.5078345,28.3098,0.203232143
Haiti,America,2008,64.22351234,23.66302,23.27785,32.86658672,3.5,0.250059947,0.284842588,12.73115448,390.2099781,8.92405727,44.19130851,2383.672237,61.6,12.89485194,7.6,60.911,9736332,1.322122347,350.859,9.192394708,45,35.33440734,48.8268,4.614950444
Holy See,Europe & Central Asia,2008,,,,,,,,,,,,,,,,,450,,1022.727,,,,,
Honduras,America,2008,28.4565198,25.10872,26.73191,85.04628809,3.273,1.165361358,0.636409173,51.32528053,1440.680055,70.81831128,84.4236886,7241.998427,22.5,7.790484515,9.6,72.235,7302742,1.990487083,65.152,278.739635,92,115.6885845,50.4058,3.159059438
Hong Kong China,East Asia & Pacific,2008,,,,,,,,,35210.31049,,,81542.74562,,,,,,,,,,,,
Hungary,Europe & Central Asia,2008,64.61332441,27.11568,25.97839,121.9746762,1.333,5.452865858,2.635779983,81.65984188,5947.158309,794.0160016,81.20562055,35844.54335,6.2,5.275909336,55.9090561,73.48,10021886,-0.175097367,107.725,1154.179932,20,1118.725978,67.925,0.593398249
Iceland,Europe & Central Asia,2008,22.75311721,27.20687,26.02599,108.4515203,2.118,7.140573262,16.86846831,44.39983918,37927.11904,4117.228351,47.11891975,75843.90701,2.1,11.83592812,89.06540354,81.846,310666,1.859572171,3.016,2826.044873,15,4929.152945,93.3892,1.98536172
India,South Asia,2008,60.44282404,20.95956,21.31478,29.1292787,2.643,1.513182716,0.525737715,23.60124526,689.2731963,11.92058097,28.91185738,5211.54185,50.7,8.664642299,4.38,65.07,1190863679,1.428626953,362.266,110.7054664,84,43.12475092,30.252,2.555539901
Indonesia,East Asia & Pacific,2008,28.70438349,21.85576,22.98693,59.83296554,2.479,1.755512403,0.795563971,29.80828417,1052.433389,24.80030645,28.75311546,7373.206108,29.9,18.14975247,7.917479385,69.705,234951154,1.065195906,123.362,221.9614614,45,53.36093578,48.3292,2.728893119
Iran,Middle East & North Africa,2008,29.65460072,25.31003,27.23608,59.48322276,1.88,8.025001472,2.819203221,,2148.230421,128.0676512,,23358.3786,18.3,17.40044738,10.24,72.445,72289291,1.188108258,43.86,753.2098022,29,276.5624408,68.386,1.592516264
Iraq,Middle East & North Africa,2008,21.60642019,26.71017,28.41117,58.78045692,4.343,3.790588886,0.942801998,,743.6913386,119.9536694,,6993.368385,31,31.86406898,0.988165135,68.659,29821136,3.023599714,68.036,,96,160.7317652,66.7384,2.827267957
Ireland,Europe & Central Asia,2008,60.9667586,27.65325,26.62176,115.972488,2.002,9.970978507,3.37930507,83.43857135,30130.64042,4019.968481,74.38023829,76327.82359,3.8,-2.332125516,64.26494271,79.94,4352866,1.565670641,61.942,2051.802338,18,5241.043435,61.3296,2.030145429
Isle of Man,Europe & Central Asia,2008,73.68421053,,,,,,,,,,,,,,,,81798,0.730060113,143.003,,,,50.8328,0.493485229
Israel,Middle East & North Africa,2008,23.79852126,27.13151,27.30192,126.6439604,2.916,9.771644199,3.130975263,40.27547052,21941.10572,1251.194187,41.55197617,52072.78469,3.9,1.315560398,57.63095479,80.836,7092324,1.776579106,320.268,2342.435248,14,2073.08313,91.701,1.84312178
Italy,Europe & Central Asia,2008,49.11606718,26.4802,24.79289,150.8411572,1.392,7.468942285,2.941635988,28.45625134,19903.45694,2690.768796,29.28830866,55901.90409,3.5,2.533158422,44.57413393,81.236,59891479,0.766549688,198.765,1176.385457,7,3471.678586,67.9672,0.952694888
Jamaica,America,2008,41.45891043,24.00421,27.22601,100.1117899,2.387,4.391456474,1.58665972,41.9356394,,145.813855,69.1895082,14548.04347,16.2,12.86121928,23.89053855,72.36,2720282,0.425135826,247.501,368.4346061,76,272.3255776,52.006,0.411676746
Japan,East Asia & Pacific,2008,12.69684499,23.50004,21.87088,87.23798653,1.343,9.542690492,3.878907112,17.71116378,40433.00131,2627.896816,17.39928577,62159.34159,2.5,-1.2652014,74.71545815,82.81,126544640,-0.052224332,334.887,2257.572233,5,3253.102022,88.7158,0.981781221
Jersey,Europe & Central Asia,2008,,,,,,,,,,,,,,,,,91533,,,,,,,
Jordan,Middle East & North Africa,2008,11.01541251,27.47362,29.21801,90.84642856,3.586,3.662935399,1.221526525,56.50591605,2497.539317,203.9407889,84.71571397,10074.33231,18.4,19.86802656,23.2462236,73.074,5848952,2.18368359,65.467,719.4765302,26,329.5521428,81.9546,2.500457457
Kazakhstan,Europe & Central Asia,2008,76.97151535,26.29078,26.65065,95.24269826,2.51,14.65439865,4.479042266,57.24992623,2380.085304,192.8559922,37.14355081,20954.36549,23,20.93653821,10.98690864,65.801,15655345,1.21835923,5.745,484.098988,29,329.8068498,54.1268,0.854323457
Kenya,Sub-Saharan Africa,2008,47.79140458,21.59258,23.06181,42.39603637,4.761,0.266308378,0.461009577,27.60697712,456.2504868,13.09886831,41.67450986,2872.197338,55.1,13.41069588,8.67,57.648,38455418,2.555218074,66.261,41.18000321,100,32.99259206,22.8126,4.231427589
Kiribati,East Asia & Pacific,2008,41.97530864,29.2384,31.30769,1.035925911,3.133,0.531775301,,,743.1437139,144.280328,,6350.558688,49.6,4.536134004,7,67.294,96532,1.554513882,132.964,,,171.1082454,43.7046,1.671732696
Kuwait,Middle East & North Africa,2008,8.47362514,29.17211,31.16186,114.0737677,2.681,31.29474707,10.93506507,66.75921252,25308.08492,873.8055228,25.68327874,91241.19279,9.8,15.84701933,42,73.812,2548351,4.024946784,143.021,8362.567977,14,1116.629404,98.216,4.038183793
Kyrgyzstan,Europe & Central Asia,2008,55.92805005,24.74743,25.68361,,2.815,,,,,,92.55712613,4036.401098,,,,66.816,5204104,,,428.3123071,34,,,
Lao,East Asia & Pacific,2008,,,,,,,,,490.2975328,,,,,,,,,,,,,,,
