ethnicity	married	bodyim	sm.ever	weight	height	age	stressgp
Maori	1	mod.ow	1	66	161	50	2
Pacific	1	slight.ow	3	73	161	48	1
Maori	1	right	2	63	165	52	1
Maori	3	slight.ow	1	64	156	41	2
Asian	1	slight.ow	3	76	161	40	1
Asian	1	mod.ow	3	77	161	56	3
Asian	1	right	3	70	163	47	3
Asian	4	slight.ow	1	79	166	53	2
Asian	1	right	3	64	155	40	1
Pacific	4	right	1	63	161	61	1
Asian	1	right	3	65	154	48	1
Asian	1	slight.ow	3	79	169	40	2
Pacific	3	right	3	71	164	48	2
Pacific	4	right	3	67	160	61	1
Pacific	1	right	3	74	159	53	1
Pacific	1	right	3	65	153	50	1
Asian	1	mod.ow	3	82	166	48	1
Pacific	1	right	3	80	164	51	1
Pacific	4	right	3	74	163	51	1
Maori	1	slight.ow	1	77	164	49	1
Europn	1	mod.ow	1	79	166	58	1
Europn	3	right	3	64	168	48	2
Asian	1	slight.ow	2	58	160	48	1
Europn	1	slight.ow	1	61	159	53	1
Europn	4	mod.ow	3	75	160	43	2
Europn	1	slight.ow	3	79	171	47	1
Europn	4	mod.ow	2	66	163	42	1
Europn	3	slight.ow	2	63	160	50	2
Maori	1	mod.ow	1	68	162	40	2
Maori	4	mod.ow	1	64	158	54	1
Asian	1	slight.ow	3	60	155	40	1
Europn	1	right	3	65	172	49	1
Europn	4	slight.ow	3	64	167	46	1
Europn	2	slight.ow	3	66	165	41	2
Maori	1	right	1	63	157	51	1
Maori	1	very.ow	1	81	166	44	1
Maori	2	slight.ow	1	62	162	39	2
Maori	1	mod.ow	1	67	161	55	2
Europn	4	right	3	60	160	53	1
Maori	1	slight.ow	1	74	169	48	2
Maori	1	slight.ow	3	72	161	45	1
Europn	1	slight.ow	3	61	160	58	1
Europn	1	mod.ow	3	69	156	48	2
Asian	3	slight.ow	3	59	157	46	1
Pacific	4	right	3	70	156	58	1
Pacific	1	very.ow	3	83	168	44	2
Europn	1	slight.ow	3	77	173	48	2
Maori	1	slight.ow	1	75	165	48	1
Maori	4	mod.ow	1	69	160	51	1
Europn	2	slight.ow	3	70	169	47	2
Maori	3	slight.uw	1	59	163	56	2
Europn	2	mod.ow	1	66	161	48	2
Asian	4	mod.ow	1	71	164	42	1
Europn	1	right	3	65	165	45	1
Asian	1	slight.ow	1	69	163	37	1
Pacific	4	right	1	73	164	45	1
Europn	1	mod.ow	3	81	174	50	1
Maori	1	mod.ow	3	64	164	49	1
Maori	1	slight.ow	3	77	167	42	2
Maori	1	mod.ow	3	77	168	60	1
Europn	1	slight.uw	3	54	157	45	1
Maori	1	very.ow	1	64	153	40	1
Europn	1	very.ow	3	66	156	61	1
Asian	1	right	3	61	166	50	1
Asian	1	slight.ow	3	63	165	40	1
Maori	1	slight.ow	2	65	166	45	2
Europn	1	slight.ow	1	83	177	45	1
Europn	1	mod.ow	1	69	164	44	1
Maori	1	slight.ow	3	65	159	43	2
Maori	4	slight.ow	1	62	158	41	1
Europn	1	slight.ow	2	69	165	58	2
Europn	4	slight.ow	1	61	163	49	2
Europn	4	slight.ow	1	64	166	40	2
Europn	1	slight.ow	3	71	171	52	1
Europn	1	mod.ow	2	68	162	56	1
Maori	1	slight.ow	1	71	167	53	2
Maori	4	right	1	64	157	63	1
Maori	1	slight.ow	1	66	157	41	2
Maori	1	mod.ow	1	65	164	38	2
Asian	1	right	3	66	156	55	1
Europn	4	very.ow	1	65	155	46	2
Maori	1	slight.uw	3	52	151	40	1
Maori	1	slight.ow	2	79	162	54	1
Europn	1	slight.ow	3	59	163	59	2
Asian	1	mod.ow	3	82	170	40	2
Europn	1	mod.ow	2	65	160	54	1
Europn	3	slight.ow	2	66	167	51	2
Europn	1	slight.ow	2	58	159	40	1
Europn	4	slight.ow	2	73	165	45	2
Europn	1	very.ow	1	71	161	49	1
Europn	4	slight.ow	2	70	170	50	2
Europn	1	slight.ow	3	66	155	47	2
Europn	4	right	1	63	159	58	3
Maori	2	slight.ow	1	68	171	36	1
Europn	1	slight.ow	2	69	174	48	1
Europn	4	mod.ow	3	66	155	45	1
Europn	1	right	1	71	177	45	2
Europn	1	slight.uw	3	59	153	54	1
Asian	1	slight.ow	2	69	157	46	2
Europn	1	right	3	55	157	46	1
Maori	4	very.ow	3	76	171	49	2
Europn	3	slight.ow	1	70	159	42	2
Asian	1	slight.ow	3	76	160	49	1
Maori	1	slight.ow	3	67	159	59	1
Maori	4	slight.ow	1	70	170	41	1
Maori	1	slight.ow	1	80	168	44	1
Maori	1	mod.ow	2	69	157	54	2
Maori	1	very.ow	1	62	154	50	1
Europn	4	mod.ow	2	73	170	41	1
Asian	1	right	3	79	164	51	1
Asian	1	mod.ow	3	77	163	40	1
Pacific	1	slight.ow	1	65	148	50	1
Maori	1	very.ow	3	78	168	42	2
Europn	1	mod.ow	2	62	161	43	2
Europn	1	right	2	62	167	47	2
Asian	1	slight.ow	3	56	154	43	1
Europn	1	slight.ow	3	65	158	55	1
Europn	1	slight.ow	3	76	175	41	1
Europn	1	right	2	70	167	53	1
Europn	1	mod.ow	2	73	164	39	2
Europn	4	slight.ow	2	64	164	58	3
Maori	1	very.ow	2	73	156	51	3
Europn	1	slight.ow	2	70	168	54	2
Europn	1	right	1	66	169	42	2
Europn	1	slight.ow	2	61	162	51	2
Asian	1	slight.uw	3	69	166	44	3
Europn	1	mod.ow	3	71	159	58	1
Asian	4	slight.ow	3	73	156	59	1
Asian	4	very.ow	1	65	163	41	2
Europn	4	right	3	64	160	57	1
Asian	1	right	1	60	160	47	1
Pacific	1	slight.ow	3	64	150	45	2
Pacific	1	right	2	69	169	56	2
Asian	3	right	3	70	167	42	1
Europn	2	slight.ow	3	66	160	43	2
Maori	1	right	1	58	158	49	1
Maori	1	right	1	70	160	50	1
Maori	1	right	1	66	166	48	1
Europn	2	slight.ow	3	79	166	44	2
Maori	1	right	1	70	166	43	1
Asian	1	very.ow	3	69	159	54	2
Europn	2	slight.ow	3	61	162	41	1
Asian	4	mod.ow	3	57	157	59	1
Europn	2	slight.ow	1	65	159	49	1
Europn	1	mod.ow	3	59	153	55	1
Pacific	1	very.ow	3	73	159	42	2
Maori	1	slight.ow	3	64	157	47	1
Asian	1	right	3	71	169	42	2
Europn	1	slight.ow	3	75	168	50	1
Pacific	4	slight.ow	1	68	166	46	1
Europn	4	mod.ow	3	71	161	48	1
Europn	1	slight.ow	3	57	154	42	1
Pacific	1	slight.ow	2	62	166	40	1
Pacific	1	slight.ow	3	73	164	44	1
Europn	1	slight.ow	3	58	160	49	2
Asian	1	slight.uw	3	64	165	48	1
Maori	1	mod.ow	2	85	169	61	1
Asian	1	slight.ow	3	60	155	48	1
Europn	4	slight.ow	2	71	174	51	1
Europn	1	slight.ow	3	64	166	43	1
Maori	4	slight.ow	3	73	160	49	1
Europn	1	mod.ow	1	71	165	56	2
Asian	2	slight.ow	1	61	163	41	1
Europn	2	slight.ow	3	66	166	41	3
Europn	1	slight.ow	3	64	166	52	1
Europn	1	mod.ow	3	75	164	42	1
Europn	1	slight.ow	2	73	174	44	1
Europn	1	mod.ow	2	73	169	54	1
Europn	3	slight.ow	3	75	174	46	2
Pacific	4	mod.ow	3	76	165	50	1
Pacific	1	right	3	77	161	38	2
Europn	4	slight.ow	3	61	163	54	1
Europn	3	slight.ow	2	60	163	64	1
Asian	1	slight.ow	3	53	152	45	1
Europn	1	mod.ow	2	68	162	38	2
Pacific	3	right	3	79	172	51	2
Europn	1	mod.ow	3	81	171	44	2
Pacific	1	mod.ow	3	78	170	44	1
Europn	4	slight.ow	1	55	156	44	1
Europn	1	mod.ow	3	73	171	45	1
Maori	4	very.ow	1	53	152	44	2
Europn	1	slight.ow	3	55	156	54	2
Europn	4	slight.ow	3	83	181	49	2
Europn	2	slight.ow	2	91	177	45	1
