time    attendance      sun.yesterday   nice.day        day.type        tv.ads
147     1271    0.7     0       2       0.000
148     141     3.6     0       1       0.000
149     194     2.2     0       1       0.000
150     149     3.1     0       1       0.000
151     204     2.7     0       1       0.000
152     171     3.1     0       1       0.000
153     512     0       0       2       0.000
154     2584    1.1     1       2       0.000
155     757     6.1     0       4       0.000
156     198     0.2     0       1       0.000
157     59      4.7     0       1       0.000
158     128     2.6     0       1       0.000
159     224     0.8     1       1       0.000
160     853     6.6     1       2       0.000
161     1764    6.7     1       2       0.000
162     215     6.6     1       1       0.000
163     203     5.1     0       1       0.000
164     264     0       1       1       0.000
165     192     5.2     0       1       0.000
166     251     3.9     0       1       0.000
167     697     4.4     0       2       0.000
168     1438    3.8     1       2       0.000
169     199     5.7     0       1       0.000
170     134     3.5     0       1       0.000
171     89      0       0       1       0.000
172     214     0       0       1       0.000
173     94      0.7     0       1       0.000
174     196     0.4     0       2       0.000
175     1003    2.5     0       2       0.000
176     168     3.6     0       1       0.000
177     227     0.9     1       1       0.000
178     13      5.4     0       1       0.000
179     231     0       1       1       0.000
180     183     5.8     0       1       0.000
181     325     1       0       2       0.000
182     1263    3.5     1       2       0.000
183     1042    6.5     0       3       0.000
184     334     3.3     0       3       0.000
185     365     2.1     0       3       0.000
186     673     2.6     0       3       0.000
187     974     3.3     0       3       0.000
188     391     2.7     0       2       0.000
189     1063    2.2     1       2       0.000
190     189     5.6     0       1       0.000
191     172     3.5     0       1       0.000
192     265     0.3     0       1       0.000
193     180     3.4     0       1       0.000
194     121     4.4     0       1       0.000
195     599     3.8     0       2       0.000
196     1114    0.9     0       2       0.000
197     205     2.7     0       1       0.000
198     203     3.2     0       1       0.000
199     12      3.6     0       1       0.000
200     199     0.1     1       1       0.000
201     325     6.2     0       1       0.000
202     147     3.3     0       2       0.000
203     1500    1.4     0       2       0.000
204     188     4.2     1       1       0.000
205     303     6.5     1       1       0.000
206     276     6.1     1       1       0.000
207     214     6.9     0       1       0.000
208     177     0.5     0       1       0.000
209     859     3.3     0       2       0.000
210     506     0.2     0       2       0.000
211     134     1.2     0       1       0.251
212     381     2.3     1       1       0.862
213     346     7.5     0       1       0.862
214     238     2.6     0       1       1.698
215     390     0.1     0       1       1.698
216     741     2.8     0       2       1.698
217     192     0       0       2       1.698
218     204     0       0       1       1.448
219     101     0.2     0       1       0.836
220     98      4.6     0       1       0.836
221     349     4.1     0       1       0.000
222     324     3.2     0       1       0.000
223     234     0       0       2       0.000
224     918     0       0       2       0.000
225     182     3.8     0       1       0.297
226     288     4.5     1       1       0.567
227     338     6       1       1       0.567
228     179     6.7     0       1       1.354
229     55      0       0       1       1.354
230     693     0.5     0       2       1.619
231     1658    4.8     0       2       1.911
232     220     0.6     0       1       1.614
233     781     0.1     1       1       1.344
234     395     9.7     0       1       1.344
235     439     0.1     1       1       0.556
236     176     7.2     0       1       0.556
244     1634    7.7     0       2       1.706
245     1811    2.1     0       2       1.706
246     201     4.2     0       3       1.544
247     1566    0       1       3       1.237
248     410     6.7     0       3       0.506
249     926     2       0       3       0.000
250     1441    4.3     1       3       0.000
251     1259    7.7     1       2       0.000
252     1543    6.3     1       2       0.000
253     271     6.8     1       1       0.343
254     397     8.2     1       1       0.686
255     431     9.5     1       1       1.224
256     372     10.5    1       1       1.512
257     316     9.8     0       1       1.791
258     1075    2.9     1       2       1.791
259     1346    8.7     0       2       1.791
260     227     0.7     0       1       1.448
261     314     0.4     1       1       1.105
262     336     10.5    1       1       0.567
263     305     9.7     1       1       0.279
264     242     9.9     0       1       0.000
265     1034    4.9     0       2       0.000
266     1323    3.2     1       2       0.000
267     277     6       1       1       0.574
268     131     8.9     0       1       0.874
269     377     0       1       1       1.507
270     276     10.2    1       1       2.340
271     368     5.8     0       1       2.340
272     774     4.9     0       2       2.340
273     538     3.3     0       2       2.340
274     176     0       0       1       1.766
275     328     2.2     1       1       1.466
276     354     7.6     1       1       0.833
277     265     5.2     0       1       0.000
278     108     4.2     0       1       0.000
279     1010    1.9     1       2       0.000
280     741     6.6     1       2       0.000
281     212     7.1     1       1       0.587
282     250     9       1       1       0.587
283     299     7.9     1       1       1.161
284     301     7.8     0       1       1.421
285     315     4.5     1       1       1.717
286     1155    9.4     1       2       1.717
287     483     10.3    0       2       1.717
288     132     0       0       1       1.129
289     156     4.1     1       1       1.129
290     336     7.9     0       1       0.556
291     211     2.2     0       1       0.296
292     314     1.4     0       1       0.000
293     1858    1.6     1       2       0.000
294     2871    8.8     1       2       0.000
295     2299    8.1     0       4       0.525
296     266     1.3     0       1       0.525
297     418     4.7     1       1       1.277
298     333     8.6     0       1       1.812
299     371     4       0       1       1.812
300     447     4.8     0       2       1.812
301     1440    2.1     1       2       1.812
302     266     9       1       1       1.287
303     198     11.2    0       1       1.287
304     168     4.5     0       1       0.534
305     267     2.6     0       1       0.000
306     521     4.6     1       1       0.000
307     1064    7.2     1       2       0.000
308     1597    7.4     0       2       0.000
309     149     2.2     0       1       0.000
310     430     1.9     1       1       0.309
311     467     13      1       1       0.920
312     769     12.4    1       1       1.190
313     491     11.7    1       1       1.190
314     1201    11.5    1       2       1.190
315     737     7       0       2       1.190
316     33      0       0       1       1.190
317     139     0       0       1       0.881
318     477     3.7     0       1       0.270
319     271     4.8     0       1       0.000
320     526     3.2     1       1       0.000
321     891     11.5    1       2       0.000
322     1479    8.2     0       2       0.000
323     293     2.2     0       1       0.216
324     408     2.2     0       1       0.525
325     622     3.2     1       1       0.795
326     299     7.2     0       1       1.516
327     429     2.7     1       1       1.516
328     1019    11.7    0       2       1.516
329     1367    2.7     0       2       1.516
330     357     4.9     1       1       1.300
331     300     10.3    0       1       0.991
332     367     1.2     1       1       0.721
333     350     9.4     1       1       0.000
334     342     8.3     1       1       0.000
335     803     8       1       2       0.000
336     1064    9.5     1       2       0.328
337     349     10.5    1       1       0.557
338     211     8       0       1       0.557
339     486     0       1       1       0.827
340     494     13.2    1       1       0.827
341     452     11.5    0       1       0.827
342     547     0       0       2       0.827
343     1097    0       0       2       0.500
344     286     1       0       1       0.270
345     423     2.3     1       1       0.270
346     369     10.1    0       1       0.000
347     341     3.7     1       1       0.000
348     329     11.4    1       1       0.000
349     736     12.8    1       2       0.000
350     1114    11.2    1       2       0.000
351     471     12.4    1       1       0.289
352     462     9.5     1       1       0.444
353     533     9.4     0       1       0.633
354     313     3.6     0       1       0.768
355     418     1.4     1       1       0.930
356     844     10      1       2       0.930
357     1253    11.6    1       2       0.930
358     758     7.6     1       3       0.640
360     2920    1.9     1       4       0.297
361     2412    13.7    1       3       0.162
362     2862    13.6    0       3       0.000
363     1786    0       0       2       0.000
364     3411    4.1     1       2       0.000
365     1574    9       1       3       0.167
366     3243    7       1       4       0.274
367     2899    13.4    1       4       0.429
368     2721    7.1     1       3       0.643
369     2314    10.4    1       3       0.748
370     2030    5.7     0       2       0.748
371     2973    0       1       2       0.748
372     1812    13.1    1       3       0.581
373     1848    7.4     0       3       0.474
374     2014    3.8     1       3       0.319
375     2231    10.8    1       3       0.105
376     1685    12.8    1       3       0.000
377     1770    13.8    1       2       0.000
378     2188    13.5    0       2       0.000
379     906     1.7     0       3       0.177
380     1859    0.3     1       3       0.507
381     1487    6.7     0       3       0.723
382     1121    2       0       3       0.974
383     1487    1.8     1       3       0.974
384     1758    6.7     1       2       0.974
385     2452    8.5     1       2       0.974
386     1160    8.4     1       3       0.797
387     1602    6.1     1       3       0.467
388     1345    8.9     1       3       0.251
389     1249    7.5     0       3       0.000
390     767     1       0       3       0.000
391     1200    3.9     0       2       0.000
392     2450    0       0       2       0.000
393     2736    1.9     1       4       0.292
394     566     6.4     1       1       0.583
395     239     6.7     0       1       0.787
396     630     0.3     1       1       1.042
397     570     12.1    1       1       1.042
398     287     8.3     1       2       1.042
399     1979    5.5     1       2       1.042
400     409     11.1    0       1       0.751
401     391     4.4     1       1       0.459
402     3153    11      1       4       0.255
403     351     8.2     0       1       0.000
404     373     1       1       1       0.000
405     975     13.1    0       2       0.000
406     1241    0       1       2       0.000
407     341     13      1       1       0.179
408     432     7       1       1       0.397
409     397     9.6     1       1       0.397
410     387     7.9     1       1       0.598
411     417     12.7    1       1       0.746
412     925     12.7    1       2       0.910
413     176     9.8     0       2       0.910
414     228     0.2     0       1       0.732
415     322     4.3     1       1       0.513
416     427     5.2     1       1       0.513
417     455     11.9    1       1       0.313
418     314     12.7    1       1       0.164
419     986     8       1       2       0.000
420     1371    12.7    1       2       0.000
421     354     6.6     1       1       0.291
422     433     10.6    1       1       0.583
423     505     11.8    0       1       0.583
424     262     1.3     0       1       1.149
425     407     0       1       1       1.413
426     1010    8.9     1       2       1.413
427     1096    8.2     1       2       1.690
428     305     6.4     0       1       1.399
429     407     4.5     1       1       1.107
430     405     5.6     1       1       1.107
431     406     7       1       1       0.541
432     447     8.6     1       1       0.277
433     1237    9.7     1       2       0.277
434     1875    10.5    1       2       0.000
435     324     9.6     1       1       0.000
436     409     10.9    1       1       0.347
437     702     10.7    1       1       0.671
438     342     6       0       1       0.883
439     177     5       0       1       1.018
440     1269    3       1       2       1.018
441     1911    8.1     1       2       1.018
442     334     5.8     0       1       1.018
443     427     2.9     1       1       0.671
444     423     6       1       1       0.347
445     449     5.4     1       1       0.135
446     510     11      1       1       0.000
447     1097    10.5    1       2       0.000
448     1312    10      0       2       0.000
449     259     1.2     1       1       0.309
450     65      6.1     0       1       0.656
451     353     0.1     0       1       0.656
452     338     0.5     1       1       0.953
453     2281    10.2    1       4       0.953
454     2354    7.9     1       2       0.953
455     3090    8.2     1       2       0.953
